candidate_id,title,domain_group,highest_capability_claim,missingness_reporting,censoring_reporting,formal_calibration,frozen_external_validation,explicit_causal_estimand,action_perturbation,closed_loop_evaluation,safety_hazard_test,public_code,reproducibility_evidence,appraisal_strengths,appraisal_limitations,evidence_anchors
MWM-0125,MRI Contrast Enhancement Kinetics World Model,imaging_biological,passive_forecasting,described,not_applicable,no,no,NA,NA,no,no,no,1,"Two anatomies/cohorts, explicit spatial and temporal metrics, irregular-time conditioning, and targeted ablations","Split and statistical details are incomplete; cSSIM can reward oversmoothing; no uncertainty, clinical reader study, or free-running validation","pp.1-2 Abstract and Sec.1, Figs.1-2; pp.3-5 Sec.3, Fig.3; pp.5-7 Sec.4.1, Table 1; supplementary pp.13-17 qualitative kinetics figures"
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,longitudinal_physiology_decision,planning,not_applicable,not_applicable,no,no,NA,yes,real,yes,no,1,"True horizon-resolved simulator evaluation, explicit sim-to-real closed-loop testing, robust multi-setting controller, and concrete hardware safety interlocks","Benchtop rather than patient validation, same-platform transfer, no uncertainty/calibration, incomplete dataset reporting, and no released learned artifacts.","Author arXiv v4 full text, arXiv:2102.06779: Methods Secs. 3-5 and Figs. 3-9; Sec. 4.1/Fig. 5 recursive prediction; Appendix B and Tables 3-5."
MWM-0263,Medical World Model,imaging_biological,planning,not_identified,described,no,no,yes,no,offline,no,yes,1,Peer-reviewed proceedings paper; paired longitudinal imaging; external dataset; broad baselines; radiologist and physician evaluations,"One-step observational pairs cannot validate alternative-treatment counterfactuals; cohorts are small; external data are adapted before test; confounding, overlap, censoring detail, and calibration are absent","Abstract and Fig. 1 p.1; Sec. 3, Figs. 2-3, and Algorithm 1 pp.3-6; Sec. 4, Tables 1-3, and Figs. 4-7 pp.6-8; Conclusion p.8"
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,procedural_embodied,planning,described,described,no,no,NA,yes,real,yes,yes,2,Peer-reviewed full physical demonstration; real closed-loop planning/control; strong public code/data/checkpoint access; multiple simulated and physical environments; explicit failure/recovery mechanisms and flow/obstacle stress tests,World-model dynamics fidelity and imagination horizon are not directly evaluated; sim-to-real and unseen-environment results require adaptation; exact independent physical sample counts/seeds are unclear; no clinical or in-vivo validation and no predictive uncertainty calibration,"Main article pp. 1076-1085 for claims, real control, simulation, transfer, generalization, flow, and discussion; Methods pp. 1085-1088 for state/action/transition and algorithms; Data/Code Availability p. 1088; Extended Data; Supplementary Notes S1-S13, especially S3, S5, S9-S11 for transfer, flow, failures, rescue, generalization, and world-model planning"
MWM-X21155DF63C,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,imaging_biological,action_conditioned,described,not_applicable,no,no,NA,yes,no,no,yes,2,"Large neural dataset, unseen-sound evaluation, distributional response metrics, transfer experiments and public pretrained implementation","Anesthetized animal model; new-animal adaptation is not frozen; no recursive state dynamics, formal calibration or safety/clinical utility","Nature Machine Intelligence PMCID PMC12460167: Methods on animals, sounds, architecture, held-out sounds, transfer, and statistics; Results Figs. 1-5 on likelihood/RMSE, Fano factor, explainable variance, speech, forward masking, and adaptation; Data/Code Availability and official ICNet repository with pretrained weights."
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,longitudinal_physiology_decision,planning,described,described,no,yes,yes,yes,simulation,no,no,1,"Stochastic environment, no-action comparisons, long rollouts, policy baselines, uncertainty bands, city holdout","Six-city early-pandemic data, no formal calibration/external epidemic validation, policy effects not causally identified","arXiv v3 Secs. 2-5; Algorithms 1-3; Figs. 3-6; Table 1; Appendix C.1-C.4, especially leave-one-city-out validation"
MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,procedural_embodied,action_conditioned,not_applicable,described,no,no,NA,no,simulation,yes,yes,2,"Public code and weights, genuinely free-running interaction, segmented drift analysis and sim-to-real policy-ranking evaluation","Only 12 quantitative held-out episodes; fine structures hallucinate; two tasks have negative sim-to-real correlations; no calibrated uncertainty, clinical safety protocol or clinical procedure validation","p.1 Abstract and access links; pp.3-5 Secs. 1-3 for corpus and model; pp.6-8 Sec. 4 for distillation and rollout regime; pp.9-12 Secs. 5-6, Tables 1-4 and Figs. 3-5 for video fidelity, drift and sim-to-real ranking; p.14 Limitations"
MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,imaging_biological,passive_forecasting,described,not_applicable,no,no,NA,NA,no,no,no,1,"Clear teacher-forcing versus rollout stages, horizon analysis, stimulus-mismatch test, modality ablations, and three benchmarks",Causal wording is temporal only; no uncertainty; subject-specific heads evaluate seen cohorts; SG-MIND access is unclear; no confidence intervals for forecasting,"Abstract p.1; Sec. III and Fig. 3 pp.3-5; Sec. IV, Tables I-III pp.5-8; Discussion pp.9-10"
MWM-0135,Nonstationary Battery,peripheral_health_adjacent,planning,not_identified,not_applicable,no,no,NA,no,simulation,no,no,0,"The draft is unusually explicit about falsification, negative results, nonstationary shift blocks, and a memory-based comparator","Evidence is an unreviewed Markdown draft without PDF, code, or result artifacts; the author acknowledges unequal baseline information access; sepsis profile scale and several implementation details are NI","Zenodo draft Abstract and Sec. 1: battery definitions, state, actions, and shifts; Sec. 2 and Tables B1-B3: outcomes and seed counts; Sec. 4: caveats including unequal information access; Zenodo Files/Status: Markdown-only draft and absent code/results attachments"
MWM-XBAD327876F,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,longitudinal_physiology_decision,planning,described,described,no,no,yes,no,offline,no,no,1,"Explicit held-out split, detailed missing-data pipeline, probabilistic ensemble, broad offline-RL baselines, WIS, and repeated simulations","Same-source held-out evaluation, no direct transition-fidelity metric, no horizon drift analysis, limited safety proxy, and no complete causal-identification analysis",Author arXiv v2 manuscript matching DOI 10.1016/j.bea.2025.100198: Methods and Algorithms 1-2; experimental setup; Results Figs. 2-8; limitations.
MWM-0138,Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics,procedural_embodied,action_conditioned,not_applicable,not_applicable,no,no,NA,no,offline,yes,yes,2,"Large, diverse, open resource; actual kinematic action conditioning; horizon- and seed-stratified evaluation; confidence intervals for policy success",Open-loop action replay and pixel metrics; success-demo bias; only two episodes per dataset; no action intervention test or broad closed-loop validation,Abstract pp.1-2; Results pp.7-9 and Table 1; C-H-S-S pp.18-22 and Fig. 7; Methods pp.25-29; Data Availability p.36
MWM-XB062A5A9FB,Optimized glycemic control of type 2 diabetes with reinforcement learning: a proof-of-concept trial.,longitudinal_physiology_decision,planning,described,described,no,yes,no,no,real,yes,yes,2,"Large multicenter longitudinal data, patient-model rollouts, frozen external-hospital testing, clinician comparison, real workflow use, explicit override/hazard monitoring, registered patient trial, and public code/model package.",One-day model horizon; no formal calibration or randomized clinical comparator; retrospective policy value remains vulnerable to time-varying confounding; the feasibility trial is only 16 patients and single-arm.,"Nature Medicine PMCID PMC10579102: Fig. 1 model/deployment design; Figs. 2-4 and Extended Data for K=7 internal/external evaluation; Methods on data, model-based RL, prospective deployment, trial, safety, and statistics; Data/Code Availability, RL-DITR repository, Zenodo record 8198049, and NCT05409391."
MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,longitudinal_physiology_decision,planning,not_identified,not_applicable,no,yes,yes,yes,simulation,no,yes,2,"Temporal and geographic holdouts, strong forecasting baselines, ablations, public artifacts, and an explicit noncausal caveat support aggregate predictive evaluation","The headline counterfactual/planning claim lacks confounding, overlap, interference, or quasi-experimental validation; planning evidence is limited to model-generated case studies; sample size is small and the 48-state versus 40-plus-9 count is inconsistent","Dataset and Table 1, pp. 3-4: state/time scale, policy graph, and OOD setup; Method, pp. 5-7: transition and MCTS; Setup and Tables 2-3, pp. 7-8: baselines and horizon errors; Figs. 4-5, pp. 9-10: counterfactual and planning cases plus noncausal caveat"
MWM-X7FD0DBDE79,Predictive modeling of hemodynamics during viscerosensory neurostimulation via neural computation mechanism in the brainstem.,longitudinal_physiology_decision,planning,described,not_applicable,no,no,NA,yes,simulation,yes,yes,2,"Mechanism-linked dynamics, individualized CV, real stimulus data, quantitative errors, control comparator, public data/code","10 anesthetized rats, within-animal folds, no independent validation/calibration, closed loop only in silico",Primary article Figs. 1-7; H-BIND prediction and k-fold Methods; NMPC Methods and Supplementary Fig. 14 stable/unstable targets; statistics; Data/Code availability
MWM-0151,Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation,procedural_embodied,planning,not_applicable,described,no,no,NA,no,real,yes,unclear,1,"Held-out anatomies, closed-loop physical hardware, model-free and model-based baselines, repeated evaluation and statistical tests","Only one held-out physical phantom, no direct dynamics, calibration or safety endpoint, five hardware repetitions, and code or vascular-data access is unclear","pp.1-3 Abstract and Sec. II-B for tasks and datasets; pp.3-7 Secs. II-C-II-F and Figs. 1-5 for state, action, dynamics and PEF; pp.7-10 Sec. II-G and Tables I-IV for held-out and physical results; pp.10-11 Discussion and limitations"
MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,procedural_embodied,action_conditioned,not_applicable,not_applicable,no,no,NA,yes,no,no,unclear,1,"Source-video split, multiple conditioning ablations, condition-aware metrics, and downstream real-test augmentation","Short open-loop videos; no kinematic actions, closed loop, clinical safety, uncertainty, or artifact release; reported source-clip arithmetic is internally inconsistent",Abstract p.1; Sec. 2 and Fig. 1 pp.2-4; Sec. 3 and Tables 1-2 pp.4-6; Sec. 4 and Table 3 pp.6-9; Conclusion p.10
MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,procedural_embodied,action_conditioned,not_applicable,not_applicable,no,no,NA,yes,no,no,yes,2,Explicit simulator actions and physics/neural decomposition; two datasets; conditioning ablations; novel-motion demonstrations; public artifacts,"Novel motions are qualitative; no closed-loop or physical validation, safety, or calibration; short horizon; LPIPS is used as diversity rather than direct fidelity",Abstract p.1; Sec. 2 and Fig. 2 pp.3-6; Sec. 3 and Tables 1-2 pp.6-8; Conclusion p.9
MWM-XC71FC75483,SimulAD: a dynamical model for personalized simulation and disease staging in Alzheimer's disease.,imaging_biological,counterfactual,described,described,no,no,no,no,no,no,no,1,"Independent clinical-cohort application, multimodal state evaluation, personalized long-horizon trajectories, and explicit sensitivity analysis","External cohort is adapted rather than fully frozen, no standard forecast baseline or horizon degradation, no calibration/public code, and treatment counterfactual capability is not tested here.","Author-hosted final article PDF, DOI 10.1016/j.neurobiolaging.2021.12.015: Methods Secs. 2.1-2.6 and Tables 1-2; Results Figs. 3-6 and Table 4; Discussion/Conclusion."
MWM-0164,Simulating clinical interventions with a generative multimodal model of human physiology,longitudinal_physiology_decision,counterfactual,described,described,no,yes,yes,yes,no,no,no,1,"Large longitudinal multimodal training, deterministic splitting, several frozen external cohorts, explicit missing-modality handling, PNP3 follow-up, and dose/horizon sensitivity provide broad predictive evidence","Observational training and aggregate trial matching do not identify individual treatment effects; confounding, overlap, and detailed censoring are absent; intervention curves are independent queries rather than validated free-running trajectories; code is unavailable and no calibrated uncertainty, safety, or prospective utility is shown","Abstract and pp. 2-4: claims, cohorts, and model scope; Figs. 2-4, pp. 6-12: multimodal and external predictive evaluation; Figs. 5-6, pp. 14-20: intervention and randomized-trial comparisons; Methods, pp. 28-33: cohort, split, missingness, token state, and model; pp. 42-49: intervention framework and statistics; Data/Code Availability, p. 50: repository placeholder"
MWM-XB6F8EC5868,Simulating the outcome of amyloid treatments in Alzheimer's disease from imaging and clinical data.,imaging_biological,counterfactual,described,described,no,no,yes,yes,offline,no,no,0,Interpretable multimodal dynamics and strong timing/dose perturbation grid tied to trial endpoints and power,"Intervention effects are model-assumption driven; no formal causal identification, calibration, treatment-hazard model or public code; external validation does not validate intervention response","Brain Communications PMCID PMC8168944: cohort and preprocessing, four-component latent ODE/Gaussian observation model, intervention simulation and statistics, Figs. 3-7 and Table 2, Discussion causal caveat, Data Availability; the linked supplementary PDF could not be retrieved during adjudication."
MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,imaging_biological,passive_forecasting,not_applicable,not_applicable,no,yes,NA,NA,no,no,unclear,1,"Same-backbone objective control, subject-aware and transfer probes, a broad public corpus and detailed preprocessing and ablations","No actual action conditioning or rollouts; many probes reuse pretraining datasets; absolute task scores are modest; no calibration, prospective validation, code or weights","pp.1-5 Abstract, Secs. 1-3 and Table 1 for corpus and claims; pp.5-8 Sec. 4 and Algorithm 1 for objective; pp.8-12 Secs. 5-6 and Tables 2-4 for probes and ablations; pp.12-13 limitations; pp.16-18 Appendix A and Table 5 for dataset-specific splits"
MWM-X9C071A2447,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,procedural_embodied,action_conditioned,not_identified,not_applicable,no,no,NA,yes,offline,no,no,0,"Large paired corpus, person-disjoint testing, explicit 6-DoF pose conditioning, action-removal ablation, and ten-view evaluation","One-step indirect dynamics, no direct target-feature fidelity, same-source test, no uncertainty/statistics, no real guidance or safety evaluation, and no public code/data",Primary arXiv v2 Sec. 2.2 and Fig. 2; Sec. 3.1; Table 1; Fig. 4 ablations; Conclusion
MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,procedural_embodied,action_conditioned,described,not_applicable,no,no,NA,yes,no,no,yes,2,"Video-disjoint split, large curated benchmark, strong video/control baselines, region-wise control metrics, extensive ablations","Controls expose future masks/depth/flow; no autonomous action generation, external dataset, uncertainty, horizon drift, or physical/clinical safety evidence","pp.1-3 Abstract and Secs.I-III, Table I, Fig.2; pp.3-7 Sec.IV-V.A, Figs.3-4, Table II; pp.8-10 Sec.V.B-D and Sec.VI, Tables III-V, Figs.5-8"
MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,procedural_embodied,action_conditioned,not_applicable,not_applicable,no,unclear,NA,no,no,no,no,0,"A genuine 800-frame free-running test, separate instrument/tissue metrics, strong video baselines, and drift-focused ablations directly address long-horizon visual simulation","Training and split provenance are not reported in the inspected version; no code, seeds, uncertainty, physical constraints, downstream policy, or safety evidence; keypoint paths omit force and tissue-contact variables","Introduction/formulation, pp. 1-3: long-horizon claim, state, action, and chaining; Methods, pp. 4-6: control and drift modules; Benchmark/setup, pp. 6-7: sources, clips, and horizon; Tables 1-5, pp. 8-9: baselines, component fidelity, long-rollout results, and ablations"
MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,procedural_embodied,planning,not_applicable,described,no,no,NA,no,no,no,unclear,0,"Video-level leakage control, visual and motion metrics, horizon tests, perturbation tests and real clinical videos","Final split or release is provisional; 2D observed trajectories are not actions and omit tissue consequences; one procedure, no statistics and no safety evaluation","pp.1-4 Abstract and Introduction; pp.4-5 Sec. 3 and Fig. 2 for data and annotation; pp.7-9 Sec. 4, Tables 1-2 and Fig. 3 for baselines and metrics; pp.12-15 Appendix A.2, A.5 and A.6 and Table 3 for splits, filtering and rollout perturbations"
MWM-S006,Surgical Procedural Planning as 3D World Modelling: Towards Automated Pulmonary Resection,procedural_embodied,planning,not_identified,not_applicable,no,no,no,no,offline,yes,no,0,"Patient-wise splitting, anatomy-conditioned action masks, explicit feasibility and risk ablations, and blinded surgeon review","Single-center data, 50 evaluation cases and two surgeons; no post-resection dynamics despite causal claims; no formal statistics, calibration, prospective execution or current release","p.1 Abstract; pp.2-5 Sec. 3 and Figs. 2-4 for data, action masks and planner; p.5 explicitly states post-resection anatomy is not simulated; pp.5-6 Secs. 4.1-4.2 for split and metrics; pp.6-8 Tables 1-3 and Figs. 5-6 for baselines and ablations; p.8 user study and conclusion"
MWM-S005,Surgical Vision World Model,procedural_embodied,action_conditioned,not_applicable,not_applicable,no,no,NA,yes,no,no,yes,1,"Uses real unlabeled surgical video, exposes code, separates latent action discovery from dynamics, and tests whether inferred actions improve short-horizon prediction","No reported split or baseline model; latent actions lack semantic or physical grounding; only six generated frames are evaluated; no external validation, uncertainty, safety, utility, or statistical analysis","Methods and data, pp. 3-5: VQ-VAE tokens, latent actions, dynamics, dataset, and Table 1 settings; Results, pp. 6-8: Figs. 2-3, Table 2, horizons, fidelity, and inferred-versus-random action test; Conclusion, p. 9: claim boundary"
MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,procedural_embodied,planning,not_applicable,described,no,no,NA,no,simulation,no,unclear,0,"Direct closed-loop evaluation, matched action-free-pretraining ablation, strong policy baselines, and execution-horizon analysis","Quantitative evidence is simulation-only; no visual-fidelity, uncertainty, formal safety, or quantitative real-data result; split, randomness, and release details are unclear","Abstract pp.1-2; Sec. 3 and Fig. 2 pp.4-5; Sec. 4, Tables 1-3, and Fig. 3 pp.5-8; Conclusion pp.7-8"
MWM-XCC1C1352D9,The Coupled Stochastic Dynamical System: A Generative Model for Simulating and Forecasting Youth Mental Health Trajectories,longitudinal_physiology_decision,counterfactual,described,described,yes,no,no,no,offline,no,no,1,"Broad multimodal generative specification, substantial repeated simulation, horizon-resolved forecasting, null comparisons, bootstrap uncertainty, and transparent limitations","Counterfactual/intervention claims exceed the tested passive setting; no external cohort, no strict end-to-end temporal split, no public code, and no hazard validation","medRxiv v1 full text, DOI 10.64898/2026.07.26.26358943: Methods Secs. 2.1-2.7; Results Tables 3-4 and Figs. 3-5; Discussion; Data availability."
MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,procedural_embodied,planning,not_applicable,described,no,no,NA,no,real,yes,unclear,1,"Anatomy-level holdout, a matched model-free baseline, physical fluoroscopic trials, force/speed reporting, and a failure taxonomy provide unusually direct embodied-control evidence","Only one phantom derived from training anatomy; success remains approximately 58-68%; simulation assumes rigid vessels; no external center, study-specific release, uncertainty fallback, named statistical test, or clinical safety validation","Methods and data, pp. 2-4: CTA anatomies, state/action, TD-MPC2, split, and training; Tables I-II, p. 5: simulation and in-vitro metrics; Results, pp. 5-6: failures and augmentation; Limitations/Safety, pp. 6-7: force threshold, rigid-vessel limitation, and transfer boundary"
MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,longitudinal_physiology_decision,counterfactual,not_identified,not_identified,no,no,no,yes,no,no,yes,2,"Broad modalities and horizons, explicit action channels, multidomain fidelity metrics, drift analysis, and public code and checkpoints","Abstract sample count 8,026 conflicts with listed sum 8,013; actions are observational with no causal validation; missingness and several splits are incomplete; action evidence is qualitative and safety is absent","p.1 Abstract; pp.3-5 Sec. 3 and Table 1 for datasets and model; pp.5-10 Secs. 3.5-4, Figs. 2-3 and Tables 2-3 for rollouts, metrics and action examples; p.10 limitations and reproducibility; pp.13-14 Appendix A and Tables 4-6 for horizons and splits; p.25 Table 10 for statistics"
MWM-X009A6E0F91,Towards Causality-Aware Inferring: A Sequential Discriminative Approach for Medical Diagnosis.,longitudinal_physiology_decision,planning,described,not_applicable,no,no,yes,yes,simulation,no,yes,2,"Direct simulator counterfactual-answer metric, closed-loop baselines, OOD/cross-dataset tests, human evaluation and uncertainty-based stopping","Causal terminology exceeds identification of real clinical outcomes; small pediatric benchmarks, adapted transfer and no calibrated uncertainty or clinical safety study","Official author manuscript arXiv:2003.06534v5: framework and experiments pp. 1-10, Tables 1-7 and Figs. 7-10, Appendix pp. 11-19 on potential outcomes, overlap, datasets, training, human evaluation, and limitations; official CAMAD repository checked."
MWM-X5E3C456867,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,procedural_embodied,planning,described,not_applicable,no,no,NA,NA,offline,no,no,1,Direct joint evaluation of future visual states and tool trajectories; genuinely free-running fifteen-step rollout; horizon-resolved fidelity and explicit acknowledgment of accumulated error,"Planning/action language exceeds demonstrated passive forecasting; no chosen action input or robot control; only a one-shot internal comparator; no split details, repeated-run statistics, uncertainty, external validation, or safety test","Abstract and pp. 2-6 for claim, state/action boundary, architecture, and free-running rollout; Sec. 3 pp. 6-8 and Table 1 for dataset, implementation, and segment metrics; Fig. 2 and conclusion pp. 8-9 for qualitative degradation and limitations"
MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,imaging_biological,counterfactual,described,described,no,yes,no,yes,no,no,unclear,1,"Patient-level longitudinal modeling, treatment conditioning, separate external hospital, interval-stratified degradation, and uncertainty maps","Very small local test, treatment confounding/support unaddressed, uncertainty uncalibrated, external set lacks tumor masks, and no alternate-treatment causal validation","pp.1-2 Abstract and Sec.I; pp.5-6 Secs.III-IV.A-B; pp.6-10 Sec.IV.C, Tables I-III, Figs.3-10; pp.12-13 Limitations and Sec.V"
MWM-X2E0B832A46,Type 1 diabetes prevention clinical trial simulator: Case reports of model-informed drug development tool.,longitudinal_physiology_decision,counterfactual,described,described,no,unclear,no,yes,simulation,no,no,1,"Operational public simulator, placebo/action and design perturbations, stochastic replication, time-to-event output, decision cases","Sample count NI here, effects assumed/tuned, no current external validation/calibration/safety model/source code",Primary PMC article Introduction and Key Questions; Clinical Trial Design and Power Curve tabs; Case Studies I-II and Figs. 2-4; Impact assessment; DOI 10.1002/psp4.13193
MWM-0215,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,longitudinal_physiology_decision,planning,not_identified,described,no,no,yes,no,offline,yes,unclear,0,"Explicit interventions and reward, offline-RL baselines, uncertainty decomposition, and safety-rule penalties","Only 3,000 of 46,337 eligible records used; split unit is ambiguous; no confounding, overlap, calibration, external/prospective validation, or free-running trajectory test; prediction SD is not calibration","Abstract p.1; Sec. 3 pp.4-7; Sec. 4, Tables 1-3 pp.7-10; Discussion and Limitations pp.11-12; Data Availability p.13"
MWM-0315,World Models for General Surgical Grasping,procedural_embodied,planning,described,described,no,no,NA,yes,real,yes,yes,1,"Peer-reviewed; genuine closed-loop real-robot validation, sim-to-real without fine-tuning, multiple seeds, unseen objects, and broad disturbance tests","No direct world-model fidelity/calibration, limited success rate, manual success signal/FSM, no force/tissue safety, and phantom-only evaluation","pp.1-4 Abstract and Secs.I-IV, Figs.1-3; pp.8-9 Sec.V, Table III; pp.10-11 Secs.VI-VII, Table IV, Figs.9-10; p.13 Appendix Table V"
MWM-0290,X-WIN: Building Chest Radiograph World Model via Predictive Sensing,imaging_biological,action_conditioned,not_applicable,not_applicable,no,no,NA,yes,no,no,yes,1,"Large dual-domain pretraining, an explicit spatial action, strong multi-dataset evaluation, 3D reconstruction probing, and public code support representation-learning claims","This is a spatial-view model rather than a temporal or interventional clinical world model; pretraining split details, uncertainty, clinical utility, and real acquisition-action validation are limited","Architecture and predictive action, pp. 1-4: state, simulated rotation, and transition; Sec. 4 and Tables 1-4, pp. 5-7: datasets, downstream baselines, reconstruction, and action ablations; Table 5, p. 8: few-shot five-seed results"
MWM-S002,Xray2Xray: World Model from Chest X-rays with Volumetric Context,imaging_biological,action_conditioned,not_applicable,not_applicable,no,no,NA,no,no,no,unclear,1,"Patient-level splitting, a 36-step geometric rollout, two downstream datasets and both generative and task metrics","Training views are synthetic and downstream CXR uses domain adaptation; no angle-wise drift, calibration or external real volumetric ground truth; code and weights unavailable","pp.1-5 Abstract, Secs. 1-2 and Fig. 1 for datasets and geometric transition; pp.5-8 Sec. 3, Tables 1-3 and Figs. 2-3 for splits, synthesis and downstream comparisons; pp.8-9 Conclusion"
MWM-0114,medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support,longitudinal_physiology_decision,planning,described,described,no,no,no,no,offline,no,unclear,0,"Two large EHR cohorts, explicit informative-missingness modeling, long free-running imagination, several OPE estimators and useful ablations","Patient splits are NI; dynamics validation is weak; confounding, overlap and censoring are not addressed; mortality benefits rely on OPE; reported sepsis CIs require adjudication","pp.1-3 Abstract and Introduction; pp.3-8 Sec. 3 for observations, missingness, actions, latent dynamics and imagination; pp.8-13 Sec. 4, Tables 1-2 and Figs. 2-8 for cohorts, OPE, ablations and treatment analyses; pp.18-19 appendices for ethics and feature definitions"
