candidate_id,title,highest_capability_claim,required_domains_strong,required_domains_partial,required_domains_absent,descriptive_feature_limits,priority_for_human_claim_review,extracted_claim_boundary,causal_language,decision_utility,safety_evaluation,evidence_anchors,reviewer_confidence
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,counterfactual,rollout;action,uncertainty,causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,medium,Counterfactual — paper explicitly presents latent interventions/steering as counterfactual manipulation of neural-behavior dynamics.,"Uses digital-twin and counterfactual-intervention language, but does not establish biological causal identification","The model demonstrates simulated steering and hypothesis-generation value, not a clinical or experimental decision-impact study",Robustness and failure behavior under global and localized latent-noise perturbations are examined; no biological or clinical hazard test,"bioRxiv v2 full text, DOI 10.64898/2026.06.05.730482: Results Secs. 2.2-2.5 and Figs. 2-4; Methods Secs. 4.1-4.5; supplementary robustness and intervention analyses.",high
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,action_conditioned,action;uncertainty,none,rollout,frozen_external_validation=no,medium,action-conditioned clinical forecasting,Explicitly states that event associations and input-editing analyses are not causal effects,"Postoperative recurrence and scar forecasting; no prospective treatment decision, clinician-use, or outcome-impact study","No deployment hazard, harmful recommendation, override, escalation, or monitoring evaluation","Methods and Table 1, pp. 3-5: cohort, state, event tokens, outcomes, and sample counts; Preprocessing, p. 5: MRI/ECG handling; Tables 2-4 and Fig. 3, pp. 6-7: baselines, calibration, and ablations; Fig. 4 and Limitations, p. 8: trajectories, edits, and noncausal boundary",high
MWM-X6A64D732FB,Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.,planning,rollout,action;decision;safety,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no;safety_hazard_test=no,high,Planning: compute a control sequence to drive PD latent dynamics toward a healthy reference,"The article states that GVS restores healthier EEG patterns and proposes targeted neuromodulation, but the LQR effect is model-based and no explicit treatment-effect estimand is identified.",LQR demonstrates offline neuromodulation-control feasibility only,"Bounded control is a limited constraint proxy; no physiological dose, adverse event or recovery analysis","Frontiers full text PMCID PMC12116581: participants and EEG preprocessing, six-fold subject split, Deep Koopman model, 1-15-step prediction (Fig. 4), LQR methods and controlled/uncontrolled trajectory with bounded inputs (Fig. 8), statistics, and Data/Code Availability.",high
MWM-0261,Learning Emotional Dynamics: A World Model Approach,counterfactual,rollout,none,action;uncertainty;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,Passive emotional-state forecasting; paper also calls conditioning comparison causal,"Claims causal relationships from conditioning comparison, then acknowledges evidence is only suggestive","Mental-health/workplace applications discussed, not evaluated",Broader-impact discussion only; no hazard/abstention metrics,"pp.1,4-8 Abstract and Secs.2.4-4.2; pp.12-19 Secs.4.4-4.8, Tables 2-3, Figs.6-13; pp.22-23 Secs.5.2-6; p.32 code availability",High
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,planning,rollout;action;decision,safety,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,medium,planning,Stimulation-conditioned forecasting/control; no formal treatment-effect claim,Two simulated closed-loop experiments shape activity toward targets; no in-vivo closed loop,Latency and over/under-stimulation errors; no biological injury/adverse-event/recovery hazard test,Corresponding arXiv manuscript Secs. 3.1-3.6 and 4; forecasting/horizon results; two closed-loop simulations; Table 1; Appendix 6.1-6.4 and 6.9; Code/Data availability; EMBC DOI,high
MWM-0125,MRI Contrast Enhancement Kinetics World Model,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,Passive continuous contrast-kinetics simulation,"Simulates contrast-agent kinetics, not alternative treatment effects",Potential contrast-free imaging/risk stratification only; no reader or diagnostic-utility study,Claims reduced contrast-agent exposure; no clinical hazard or failure-severity evaluation,"pp.1-2 Abstract and Sec.1, Figs.1-2; pp.3-5 Sec.3, Fig.3; pp.5-7 Sec.4.1, Table 1; supplementary pp.13-17 qualitative kinetics figures",High
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,planning,rollout;decision;safety,action,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,medium,Planning — learned controller selects sequential inspiratory actions using a learned simulator.,NA: engineered control performance is not an identified causal treatment effect,Learned residual-PID controllers outperform the best physical grid-searched PID in reported per-setting and robust six-setting L1 scores,"Software pressure/volume/disconnection/delay checks, hard-coded expiratory control, and a mechanical safety valve with abort behavior.","Author arXiv v4 full text, arXiv:2102.06779: Methods Secs. 3-5 and Figs. 3-9; Sec. 4.1/Fig. 5 recursive prediction; Appendix B and Tables 3-5.",high
MWM-0263,Medical World Model,planning,none,action;uncertainty;decision;safety,rollout,formal_calibration=no;frozen_external_validation=no;closed_loop_evaluation=offline;safety_hazard_test=no,high,Action-conditioned outcome simulation and treatment planning with counterfactual-like comparison,Uses treatment-outcome simulation and optimal-plan language that implies individual treatment effects,Physician-plus-model versus pre-treatment-CT protocol selection and three-radiologist realism assessment,Clinical rules prune toxic combinations; no adverse-event or non-target-embolization outcome validation,"Abstract and Fig. 1 p.1; Sec. 3, Figs. 2-3, and Algorithm 1 pp.3-6; Sec. 4, Tables 1-3, and Figs. 4-7 pp.6-8; Conclusion p.8",high
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,planning,decision;safety,rollout;action,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,medium,Closed-loop planning/control: imagined trajectories train a sequential policy that executes ultrasound commands on real microrobots,No medical-treatment counterfactual or causal-effect claim; planning language concerns physical control and expected imagined reward,"Real closed-loop target navigation, obstacle avoidance, upstream movement under flow, and recovery; success-rate and reward comparisons are made against PPO","Physical-platform hazards are explicitly tested or managed through collision penalties and resets, obstacle and flow stress conditions, overshoot and tracking-loss recovery, ultrasound shutdown, wall/drag constraints, and action-reversal rescue; biological injury, tissue damage, acoustic exposure, and in-vivo safety are not evaluated.","Main article pp. 1076-1085 for claims, real control, simulation, transfer, generalization, flow, and discussion; Methods pp. 1085-1088 for state/action/transition and algorithms; Data/Code Availability p. 1088; Extended Data; Supplementary Notes S1-S13, especially S3, S5, S9-S11 for transfer, flow, failures, rescue, generalization, and world-model planning",high
MWM-X21155DF63C,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,action_conditioned,none,action;uncertainty,rollout,formal_calibration=no;frozen_external_validation=no,medium,Action-conditioned simulation: predict task-relevant neural responses under defined acoustic stimuli,No causal or counterfactual treatment language; this is stimulus-response prediction,Frozen ICNet features are evaluated as an ASR front end and against a Mel baseline,NA: no clinical/physical safety claim or hazard test,"Nature Machine Intelligence PMCID PMC12460167: Methods on animals, sounds, architecture, held-out sounds, transfer, and statistics; Results Figs. 1-5 on likelihood/RMSE, Fano factor, explainable variance, speech, forward masking, and adaptation; Data/Code Availability and official ICNet repository with pretrained weights.",high
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,planning,rollout;action;decision,uncertainty,safety,formal_calibration=no;safety_hazard_test=no,medium,planning,Alternative-policy effects are simulated from observational actions and strong epidemiological priors; no causal identification claim is established,Pareto epidemiological/economic policy tradeoffs and recommended actions versus expert/behavior baselines in simulation,"Epidemiological and economic costs are optimization objectives; no separate clinical hazard, subgroup, override, or failure-recovery protocol","arXiv v3 Secs. 2-5; Algorithms 1-3; Figs. 3-6; Table 1; Appendix C.1-C.4, especially leave-one-city-out validation",high
MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,action_conditioned,rollout,action,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,Interactive closed-loop simulator and policy-evaluation claims are partially supported by long video rollouts and retrospective sim-to-real policy ranking,"Uses synthetic, counterfactual and physics-simulation language without a causal estimand","Closed-loop policy ranking has moderate aggregate correlation of 0.696, with negative correlations for handover and knot-tying tasks","Physical-feasibility video classifier and hallucination analysis are reported; no formal hazard, override or fallback protocol","p.1 Abstract and access links; pp.3-5 Secs. 1-3 for corpus and model; pp.6-8 Sec. 4 for distillation and rollout regime; pp.9-12 Secs. 5-6, Tables 1-4 and Figs. 3-5 for video fidelity, drift and sim-to-real ranking; p.14 Limitations",High; physics and interactivity claims need claim-level adjudication
MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,passive_forecasting,rollout,none,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,"Passive stimulus-conditioned forecasting, not causal intervention or counterfactual simulation","Causal denotes past-only attention, not causal-effect identification",Neuroscience simulation and interpretability only; no clinical decision utility,NA,"Abstract p.1; Sec. III and Fig. 3 pp.3-5; Sec. IV, Tables I-III pp.5-8; Discussion pp.9-10",high
MWM-0135,Nonstationary Battery,planning,rollout;decision,action,uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,high,closed-loop planning under nonstationarity,Does not claim an identified clinical causal effect; evaluates policy behavior in defined simulators,"Simulated policy reward, success, or recovery only",NA for clinical deployment; simulator failure costs are implicit rather than analyzed as safety hazards,"Zenodo draft Abstract and Sec. 1: battery definitions, state, actions, and shifts; Sec. 2 and Tables B1-B3: outcomes and seed counts; Sec. 4: caveats including unequal information access; Zenodo Files/Status: Markdown-only draft and absent code/results attachments",moderate-low; experimental artifacts and comparator fairness require careful adjudication
MWM-XBAD327876F,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,planning,none,rollout;action;uncertainty;decision;safety,none,formal_calibration=no;frozen_external_validation=no;closed_loop_evaluation=offline;safety_hazard_test=no,high,Planning — optimizes a sequential heparin dosing policy through learned-model rollouts.,"The paper claims improved policy value relative to clinician/model baselines, but causal identification remains partial and relies on offline policy evaluation assumptions",Offline policy value via weighted importance sampling and simulated 36-hour therapeutic-success episodes; no prospective or clinician-in-the-loop evaluation,"aPTT therapeutic range is a limited safety proxy; bleeding, thrombosis, overdose severity, contraindications, and override/failure tests are NI",Author arXiv v2 manuscript matching DOI 10.1016/j.bea.2025.100198: Methods and Algorithms 1-2; experimental setup; Results Figs. 2-8; limitations.,medium
MWM-0138,Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics,action_conditioned,rollout,action;uncertainty,none,formal_calibration=no;frozen_external_validation=no,medium,"Action-conditioned, multi-embodiment surgical simulation; closed-loop policy utility is broader project motivation rather than a C-H-S-S result",No causal-effect claim; predicts physical visual consequences under recorded actions,In-silico evaluation and synthetic-data/policy research; no validated human-surgery decision utility,"Limitations analyze failures, unexpected events, and absence of live tissue; no formal simulator-hazard evaluation",Abstract pp.1-2; Results pp.7-9 and Table 1; C-H-S-S pp.18-22 and Fig. 7; Methods pp.25-29; Data Availability p.36,high
MWM-XB062A5A9FB,Optimized glycemic control of type 2 diabetes with reinforcement learning: a proof-of-concept trial.,planning,decision;safety,rollout;action;uncertainty,none,formal_calibration=no;explicit_causal_estimand=no,medium,Planning: optimize sequential insulin regimen through model rollouts,"The study uses optimized-control, off-policy, and proof-of-concept efficacy language; retrospective policy learning remains observational and the clinical trial is small and single-arm.","Offline WIS, blinded physician comparisons, prospective workflow deployment and a 16-patient proof-of-concept trial","Hypoglycemia, severe hypoglycemia, severe hyperglycemia/ketosis, physician override, and prospective monitoring are explicit; no severe hypoglycemia or hyperglycemia with ketosis occurred in the 16-patient trial.","Nature Medicine PMCID PMC10579102: Fig. 1 model/deployment design; Figs. 2-4 and Extended Data for K=7 internal/external evaluation; Methods on data, model-based RL, prospective deployment, trial, safety, and statistics; Data/Code Availability, RL-DITR repository, Zenodo record 8198049, and NCT05409391.",high
MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,planning,action,rollout;decision,uncertainty;safety,formal_calibration=no;safety_hazard_test=no,high,counterfactual comparison and closed-loop policy planning,Uses counterfactual and policy-intervention language but explicitly states the forecasts should not be interpreted as causal effects,"Model-based policy search and Tennessee/Virginia case studies; no policymaker study, prospective decision, or observed outcome after deployment","Candidate actions are limited to a policy pool, but no harm taxonomy, equity/subgroup worst case, override, monitoring, or incident analysis is reported","Dataset and Table 1, pp. 3-4: state/time scale, policy graph, and OOD setup; Method, pp. 5-7: transition and MCTS; Setup and Tables 2-3, pp. 7-8: baselines and horizon errors; Figs. 4-5, pp. 9-10: counterfactual and planning cases plus noncausal caveat",high for extraction; causal framing and state-count inconsistency require careful adjudication
MWM-X7FD0DBDE79,Predictive modeling of hemodynamics during viscerosensory neurostimulation via neural computation mechanism in the brainstem.,planning,rollout;action;decision,safety,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,medium,planning,Biophysical stimulus-response mechanism language; no clinical causal estimand,In-silico NMPC reaches target and sustains ~10 mmHg reduction versus open loop; no in-vivo/clinical test,"Bounded stimulation input and stable-versus-unstable target failure testing; no in-vivo adverse-event, excessive-reduction severity, override, or recovery evaluation",Primary article Figs. 1-7; H-BIND prediction and k-fold Methods; NMPC Methods and Supplementary Fig. 14 stable/unstable targets; statistics; Data/Code availability,high
MWM-0151,Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation,planning,decision,rollout;action;uncertainty;safety,none,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,high,"Closed-loop autonomous navigation is demonstrated on phantoms, not in patients",No material causal treatment-effect language,"Navigation success, path efficiency and time; no clinical procedure or patient outcome","Action bounds, feasibility constraints, timeouts and failure completion are included; collision harm, override and severity are not evaluated","pp.1-3 Abstract and Sec. II-B for tasks and datasets; pp.3-7 Secs. II-C-II-F and Figs. 1-5 for state, action, dynamics and PEF; pp.7-10 Sec. II-G and Tables I-IV for held-out and physical results; pp.10-11 Discussion and limitations",High
MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,action_conditioned,action,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,"Controllable action-video synthesis, not planning or counterfactual clinical simulation",No causal-effect claim,Rare-action augmentation and qualitative simulator rendering; no measured clinician or robot decision impact,"Depth consistency targets geometry; no collision, harm, or physical-safety test",Abstract p.1; Sec. 2 and Fig. 1 pp.2-4; Sec. 3 and Tables 1-2 pp.4-6; Sec. 4 and Table 3 pp.6-9; Conclusion p.10,medium-high
MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,action_conditioned,none,rollout;action,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,Action-conditioned interactive surgical simulation,No causal-effect claim,"Data augmentation for phase recognition; no trainee, clinician, or robot decision-impact evaluation","Rule simulator supplies physical structure, but no constraint-violation or hazard test",Abstract p.1; Sec. 2 and Fig. 2 pp.3-6; Sec. 3 and Tables 1-2 pp.6-8; Conclusion p.9,high
MWM-XC71FC75483,SimulAD: a dynamical model for personalized simulation and disease staging in Alzheimer's disease.,counterfactual,none,rollout;uncertainty,action;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,Passive forecasting/disease staging in the present experiments; the paper additionally repeats a counterfactual anti-amyloid capability claim from prior work.,"Disease-progression language is mechanistic, but this article does not estimate a causal treatment effect","Potential utility is individualized disease staging, prognosis, and trial enrichment; no prospective clinical decision-impact study is performed",No safety or harmful-decision evaluation.,"Author-hosted final article PDF, DOI 10.1016/j.neurobiolaging.2021.12.015: Methods Secs. 2.1-2.6 and Tables 1-2; Results Figs. 3-6 and Table 4; Discussion/Conclusion.",high
MWM-0164,Simulating clinical interventions with a generative multimodal model of human physiology,counterfactual,action,uncertainty;causal,rollout,formal_calibration=no,medium,counterfactual comparison framed as intervention simulation and clinical digital twins,Uses intervention simulation and clinical digital-twin language while explicitly stating that observational associations do not establish causal effects,"Risk prediction and simulated intervention response; no prospective clinician decision, treatment selection, or patient-outcome trial","Treatment-naive eligibility and physiological bounds for synthetic populations are described; no harmful-recommendation testing, uncertainty fallback, human override, monitoring, or deployment incident plan","Abstract and pp. 2-4: claims, cohorts, and model scope; Figs. 2-4, pp. 6-12: multimodal and external predictive evaluation; Figs. 5-6, pp. 14-20: intervention and randomized-trial comparisons; Methods, pp. 28-33: cohort, split, missingness, token state, and model; pp. 42-49: intervention framework and statistics; Data/Code Availability, p. 50: repository placeholder",high for extraction; digital-twin and intervention claims require careful causal adjudication
MWM-XB6F8EC5868,Simulating the outcome of amyloid treatments in Alzheimer's disease from imaging and clinical data.,counterfactual,action,rollout;uncertainty;causal,none,formal_calibration=no;frozen_external_validation=no,medium,Counterfactual: compare placebo/natural progression with alternative amyloid-lowering timing and dose scenarios,"Authors state the model may be interpreted causally if the data capture the disease history, then explicitly caution that unmodeled mechanisms may drive amyloid","Simulated clinical endpoints and power curves inform trial timing, dose and sample-size design","No adverse-effect, toxicity, subgroup worst-case or treatment-hazard model","Brain Communications PMCID PMC8168944: cohort and preprocessing, four-component latent ODE/Gaussian observation model, intervention simulation and statistics, Figs. 3-7 and Table 2, Discussion causal caveat, Data Availability; the linked supplementary PDF could not be retrieved during adjudication.",medium
MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no,high,Evidence supports passive one-step forecasting and representation learning; action-conditioned or counterfactual world-model claims are not operationalized,"Progression, actionable-state and counterfactual language is speculative because no action is modeled",Frozen-probe discrimination and fall-risk prediction only; no prospective intervention or deployment outcome,"On-device privacy is discussed, but no safety or clinical-risk evaluation is performed","pp.1-5 Abstract, Secs. 1-3 and Table 1 for corpus and claims; pp.5-8 Sec. 4 and Algorithm 1 for objective; pp.8-12 Secs. 5-6 and Tables 2-4 for probes and ablations; pp.12-13 limitations; pp.16-18 Appendix A and Table 5 for dataset-specific splits",High; adjudicate the unsupported action-conditioned world-model wording
MWM-X9C071A2447,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,action_conditioned,action,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,action_conditioned,Spatial prediction/guidance without causal treatment claim,"Offline guidance error; no novice-sonographer, robotic execution, or clinical acquisition endpoint","NI: no contact-force, unsafe-motion, anatomy-risk, or recovery evaluation",Primary arXiv v2 Sec. 2.2 and Fig. 2; Sec. 3.1; Table 1; Fig. 4 ablations; Conclusion,high
MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,action_conditioned,action,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,Controllable action-conditioned surgical video simulation,No causal treatment claim,Data augmentation/simulation motivation only; no policy-learning or surgeon task utility,NI; no physical failure or harmful-action evaluation,"pp.1-3 Abstract and Secs.I-III, Table I, Fig.2; pp.3-7 Sec.IV-V.A, Figs.3-4, Table II; pp.8-10 Sec.V.B-D and Sec.VI, Tables III-V, Figs.5-8",High
MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,action_conditioned,rollout,action,uncertainty,formal_calibration=no;frozen_external_validation=unclear,medium,long-horizon action-conditioned surgical video simulation,No identified causal clinical claim; trajectory control changes generated video,"Simulator video fidelity only; no downstream control policy, surgeon study, or procedural outcome","Motivated as reducing patient exploration, but no hazard, force/contact constraint, harmful-rollout, override, or monitoring evaluation is reported","Introduction/formulation, pp. 1-3: long-horizon claim, state, action, and chaining; Methods, pp. 4-6: control and drift modules; Benchmark/setup, pp. 6-7: sources, clips, and horizon; Tables 1-5, pp. 8-9: baselines, component fidelity, long-rollout results, and ablations",high for reported results; split and reproducibility fields require careful adjudication
MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,planning,rollout,none,action;uncertainty;decision;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;closed_loop_evaluation=no;safety_hazard_test=no,high,A benchmark for planning-oriented surgical dynamics is supported; it is not an evaluated closed-loop planner,"Uses consequence and planning language, but trajectories are observational and not interventions","Benchmark prediction metrics only; no robot action, clinician decision or patient outcome","Safety motivation is stated, but no hazard, override or harm evaluation is performed","pp.1-4 Abstract and Introduction; pp.4-5 Sec. 3 and Fig. 2 for data and annotation; pp.7-9 Sec. 4, Tables 1-2 and Fig. 3 for baselines and metrics; pp.12-15 Appendix A.2, A.5 and A.6 and Table 3 for splits, filtering and rollout perturbations",High; final-release status and action terminology need adjudication
MWM-S006,Surgical Procedural Planning as 3D World Modelling: Towards Automated Pulmonary Resection,planning,none,action;decision;safety,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no;closed_loop_evaluation=offline,high,"Claims closed-loop causal and consequence-aware executable planning; evidence is retrospective plan matching and generated target masks, and the paper states that post-resection anatomy is not simulated","Explicit causal, consequence and counterfactual planning language",Retrospective plan agreement plus Likert face-validity ratings from two surgeons on ten cases; no prospective execution or patient outcome,"Explicit accessibility and risk rules and safety-module ablation; no validation against patient harm, live execution, override or recovery","p.1 Abstract; pp.2-5 Sec. 3 and Figs. 2-4 for data, action masks and planner; p.5 explicitly states post-resection anatomy is not simulated; pp.5-6 Secs. 4.1-4.2 for split and metrics; pp.6-8 Tables 1-3 and Figs. 5-6 for baselines and ablations; p.8 user study and conclusion",High; causal world-model and current-release claims need especially careful adjudication
MWM-S005,Surgical Vision World Model,action_conditioned,rollout,action,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,action-controllable surgical video simulation,No clinical causal claim; latent code is described as a controllable action representation,"Generated-video fidelity only; no downstream robot policy, surgeon evaluation, or procedural outcome",None reported,"Methods and data, pp. 3-5: VQ-VAE tokens, latent actions, dynamics, dataset, and Table 1 settings; Results, pp. 6-8: Figs. 2-3, Table 2, horizons, fidelity, and inferred-versus-random action test; Conclusion, p. 9: claim boundary",high
MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,planning,decision,rollout;action,uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,high,Closed-loop surgical robot planning and control,No causal-effect claim,Simulated surgical task success only,"No formal collision, hazard, or constraint evaluation; quantitative tests are simulation-only","Abstract pp.1-2; Sec. 3 and Fig. 2 pp.4-5; Sec. 4, Tables 1-3, and Fig. 3 pp.5-8; Conclusion pp.7-8",high
MWM-XCC1C1352D9,The Coupled Stochastic Dynamical System: A Generative Model for Simulating and Forecasting Youth Mental Health Trajectories,counterfactual,rollout;uncertainty,none,action;causal,frozen_external_validation=no;explicit_causal_estimand=no,high,"Counterfactual: the architecture claims intervention simulation, although demonstrated empirical capability is passive forecasting","Uses counterfactual and intervention-process language, but current data do not identify an intervention effect","Forecasting and early-warning capability could support monitoring, but no clinician decision, intervention selection, or prospective outcome improvement is tested",Low-burden structural targets for unmeasured mania/OCD/psychosis and a relaxed suicidality constraint are included; hazardous-transition calibration and clinical safety validation are absent,"medRxiv v1 full text, DOI 10.64898/2026.07.26.26358943: Methods Secs. 2.1-2.7; Results Tables 3-4 and Figs. 3-5; Discussion; Data availability.",high
MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,planning,decision;safety,rollout;action,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,medium,closed-loop planning for autonomous endovascular navigation,No population treatment-effect or patient counterfactual claim; world-model planning is evaluated as robotic control,Autonomous navigation success and efficiency in simulation and 25 physical trials,"Tip force is compared with a 1.5 N threshold; tip speed and failure categories are reported; human override, uncertainty fallback, monitoring, and deployment incident response are not evaluated","Methods and data, pp. 2-4: CTA anatomies, state/action, TD-MPC2, split, and training; Tables I-II, p. 5: simulation and in-vitro metrics; Results, pp. 5-6: failures and augmentation; Limitations/Safety, pp. 6-7: force threshold, rigid-vessel limitation, and transfer boundary",high
MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,counterfactual,rollout,action,uncertainty;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,Action-conditioned simulation and counterfactual claims exceed the evidence; results establish observational conditional forecasting across datasets,Uses counterfactual and action-awareness language,"Forecasting quality only; no treatment decision, policy evaluation or patient outcome",None reported,"p.1 Abstract; pp.3-5 Sec. 3 and Table 1 for datasets and model; pp.5-10 Secs. 3.5-4, Figs. 2-3 and Tables 2-3 for rollouts, metrics and action examples; p.10 limitations and reproducibility; pp.13-14 Appendix A and Tables 4-6 for horizons and splits; p.25 Table 10 for statistics",High; adjudicate sample-count discrepancy and counterfactual wording
MWM-X009A6E0F91,Towards Causality-Aware Inferring: A Sequential Discriminative Approach for Medical Diagnosis.,planning,action;decision,rollout;uncertainty;safety,none,formal_calibration=no;frozen_external_validation=no;safety_hazard_test=no,medium,Planning: choose sequential inquiries until an uncertainty-based decision threshold permits diagnosis,"Explicit counterfactual inquiries, potential outcomes, propensity matching, causal diagrams and do-intervention language",Closed-loop benchmark diagnosis against RL baselines plus six-physician patient-simulator evaluation,"Decision threshold, forced maximum stop and possible human intervention are discussed; no explicit misdiagnosis severity or clinical recovery test","Official author manuscript arXiv:2003.06534v5: framework and experiments pp. 1-10, Tables 1-7 and Figs. 7-10, Appendix pp. 11-19 on potential outcomes, overlap, datasets, training, human evaluation, and limitations; official CAMAD repository checked.",high
MWM-X5E3C456867,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,planning,rollout,decision,action;uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;closed_loop_evaluation=offline;safety_hazard_test=no,high,"Uses world-action and surgical motion-planning language, but the demonstrated capability is passive joint forecasting of observed visual evolution and expert instrument motion; no action-conditioned simulator, action selection, or closed-loop planner is evaluated",No causal or counterfactual language; planning relevance is inferred from forecasting observed instrument trajectories and visual consequences,"Offline trajectory/visual forecasting is an action-planning proxy only; no robot execution, closed-loop task utility, clinician evaluation, or policy comparison","The paper notes that implausible states could be unsafe, but no explicit hazard, constraint violation, failure recovery, subgroup worst-case, or physical safety test is performed","Abstract and pp. 2-6 for claim, state/action boundary, architecture, and free-running rollout; Sec. 3 pp. 6-8 and Table 1 for dataset, implementation, and segment metrics; Fig. 2 and conclusion pp. 8-9 for qualitative degradation and limitations",medium
MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,counterfactual,action,uncertainty,rollout;causal,formal_calibration=no;explicit_causal_estimand=no,high,Treatment-aware future MRI/tumor-growth forecasting; supports treatment planning,Predicts how tumor will look for different treatment plans and treatment responses,Potential scan/treatment planning discussed; no clinician-reader or outcome-utility study,NI,"pp.1-2 Abstract and Sec.I; pp.5-6 Secs.III-IV.A-B; pp.6-10 Sec.IV.C, Tables I-III, Figs.3-10; pp.12-13 Limitations and Sec.V",High
MWM-X2E0B832A46,Type 1 diabetes prevention clinical trial simulator: Case reports of model-informed drug development tool.,counterfactual,action,rollout;uncertainty,causal,formal_calibration=no;frozen_external_validation=unclear;explicit_causal_estimand=no,medium,Counterfactual/what-if clinical-trial simulation under user-imposed treatment effects; not an identified treatment effect,"Assumed effect/what-if language; effect user-imposed, not causal estimate","Offline simulated go/no-go and trial-design decisions for eligibility, sample size, and duration; no prospective decision-outcome evaluation",Explicitly not a replacement for safety/efficacy trials; no adverse-event/hazard model,Primary PMC article Introduction and Key Questions; Clinical Trial Design and Power Curve tabs; Case Studies I-II and Figs. 2-4; Impact assessment; DOI 10.1002/psp4.13193,high
