audit_id,route,title,reviewer_c_decision,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_reason_code,reviewer_d_rationale
ALT-8c0d38af637d,fresh_alternate_public_search,Quantifying Uncertainty in Alzheimer’s Disease Progression Modelling: A Variational Disease Progression Score Framework,include,include_empirical,Learned latent biomarker dynamics generate individualized future trajectories and evaluate predictive uncertainty on ADNI.,exclude,no_learned_dynamics,The quantifying uncertainty alzheimer s disease progression variational disease progression score study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-ca8c7adfc7a7,fresh_alternate_public_search,Quantitative Comparisons of Progressive Supranuclear Palsy Rating Scale Versions Using Item Response Theory.,include,include_empirical,"A fitted longitudinal disease model supports trial rollouts comparing treatment effects, designs, and analysis power.",exclude,no_future_or_action_evaluation,"The quantitative comparisons progressive supranuclear palsy rating scale versions item response study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-86ecd04e07f7,fresh_alternate_public_search,Risk Factor Identification in Heterogeneous Disease Progression with L1-Regularized Multi-state Models.,include,include_empirical,A regularized multistate model learns clinical transition probabilities and evaluates them through simulations and EBMT data.,exclude,no_future_or_action_evaluation,"The risk factor identification heterogeneous disease progression l1 regularized multi state study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-a5e6fa903faf,fresh_alternate_public_search,s-SuStaIn: Scaling subtype and stage inference via simultaneous clustering of subjects and biomarkers.,include,include_empirical,A scalable event-based model learns Alzheimer progression trajectories and validates stages by predicting MCI conversion to AD.,exclude,no_learned_dynamics,The s sustain scaling subtype stage inference simultaneous clustering subjects biomarkers study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-6ef29c270060,fresh_alternate_public_search,Simulation of the COVID-19 epidemic on the social network of Slovenia: Estimating the intrinsic forecast uncertainty.,include,include_empirical,A data-assimilated transmission model is calibrated to observations and evaluated through epidemic forecasts and uncertainty rollouts.,exclude,no_future_or_action_evaluation,"The simulation covid 19 epidemic social network slovenia estimating intrinsic forecast study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-8ea9085176e4,fresh_alternate_public_search,Simulation of the COVID-19 pandemic on the social network of Slovenia: estimating the intrinsic forecast uncertainty,include,include_empirical,The calibrated social-network model estimates posterior parameters and evaluates epidemic forecast rollouts against observations.,exclude,no_future_or_action_evaluation,"The simulation covid 19 pandemic social network slovenia estimating intrinsic forecast study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-afc5b7064ab2,fresh_alternate_public_search,Simulation of the Progression of the COVID-19 Disease in Northwest Syria Using Basic and Adjusted SIR Model,include,include_empirical,The data-calibrated SIR model evaluates epidemic rollouts and a mask intervention against reported outcomes.,exclude,review_not_primary,This review centers on simulation progression covid 19 disease northwest syria basic adjusted sir rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-ed87368a386c,fresh_alternate_public_search,Simulation-Based Inference for Whole-Brain Network Modeling of Epilepsy using Deep Neural Density Estimators,include,include_empirical,Patient-specific simulator parameters are learned from EEG and evaluated for seizure-dynamics prediction and intervention planning.,exclude,no_future_or_action_evaluation,"The simulation inference whole brain network epilepsy deep neural density estimators study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-656641ee746b,fresh_alternate_public_search,Single versus multiple inhaler triple therapy in COPD using data from the pragmatic INTREPID trial: cost-effectiveness analysis from the Chilean public healthcare system perspective.,include,include_empirical,The adapted COPD progression model performs 25-year treatment counterfactual rollouts using trial patient effects.,exclude,review_not_primary,This review centers on single versus multiple inhaler triple therapy copd data pragmatic intrepid rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-f4f9d23282a9,fresh_alternate_public_search,Surrogate modeling and control of medical digital twins.,exclude,no_primary_empirical_evaluation,The abstract proposes surrogate-control algorithms but reports no primary empirical evaluation of medical dynamics.,include,include_empirical,The surrogate control medical digital twins study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-6dd7b171b472,fresh_alternate_public_search,Temporal order of clinical and biomarker changes in familial frontotemporal dementia.,include,include_empirical,Learned multimodal disease trajectories are directly used in clinical-trial simulations for patient selection and endpoint planning.,exclude,no_learned_dynamics,The temporal order clinical biomarker changes familial frontotemporal dementia study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-0c4c70a8e30e,fresh_alternate_public_search,Thalamic regulation of reinforcement learning strategies across prefrontal-striatal networks.,include,include_empirical,A neural model of model-based reversal learning is tested against human actions and fMRI-derived strategy shifts.,exclude,no_learned_dynamics,The thalamic regulation reinforcement learning strategies across prefrontal striatal networks record does not describe a learned temporal or action-conditioned medical dynamics model.
ALT-67acfccd7966,fresh_alternate_public_search,"The Era of Preemptive Medicine: Developing Medical Digital Twins through Omics, IoT, and AI Integration.",exclude,review_not_primary,"This generic preemptive-medicine digital-twin overview lacks a world-model taxonomy, evidence map, or benchmark synthesis.",include,include_review,"This review primarily synthesizes dynamic medical digital twins for era preemptive medicine developing medical digital twins through omics iot, including prediction, simulation, or intervention use."
ALT-75ede1e4486d,fresh_alternate_public_search,The Potential of Digital Twins for Pediatric Rare Diseases.,exclude,review_not_primary,This broad pediatric digital-twin perspective offers potential applications rather than a world-model evidence synthesis.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for potential digital twins pediatric rare diseases, including prediction, simulation, or intervention use."
ALT-0fdbd7fc2fe3,fresh_alternate_public_search,The potential of the Medical Digital Twin in diabetes management: a review.,exclude,review_not_primary,This generic diabetes digital-twin review summarizes potential uses without a world-model evidence map.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for potential medical digital twin diabetes management review, including prediction, simulation, or intervention use."
ALT-7371d6ebce00,fresh_alternate_public_search,Toward mechanistic medical digital twins: some use cases in immunology.,exclude,review_not_primary,This perspective surveys mechanistic immunology twins rather than learned medical world-model evidence.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for mechanistic medical digital twins some cases immunology, including prediction, simulation, or intervention use."
ALT-009a6e0f911b,fresh_alternate_public_search,Towards Causality-Aware Inferring: A Sequential Discriminative Approach for Medical Diagnosis.,include,include_empirical,A learned action-conditioned patient simulator supports sequential symptom inquiry and receives direct experimental evaluation.,exclude,no_learned_dynamics,"The causality aware inferring sequential discriminative medical diagnosis study evaluates education, training, or simulator hardware rather than learned patient dynamics."
ALT-7a4e7d9c8802,fresh_alternate_public_search,Trajectory forecasting lifts the femtosecond ceiling in molecular simulation,uncertain,insufficient_abstract,"The title suggests learned molecular trajectory forecasting, but domain and evaluation details are absent.",exclude,wrong_domain,"This record concerns trajectory forecasting lifts femtosecond ceiling molecular simulation, which is outside medical or biomedical systems."
ALT-2e0b832a46b2,fresh_alternate_public_search,Type 1 diabetes prevention clinical trial simulator: Case reports of model-informed drug development tool.,include,include_empirical,A data-derived T1D progression model simulates treatment-control trials and evaluates counterfactual trial power.,exclude,no_learned_dynamics,The type 1 diabetes prevention clinical trial simulator case reports informed study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-87377213f8c2,fresh_alternate_public_search,Using Constrained-Disorder Principle-Based Systems to Improve the Performance of Digital Twins in Biological Systems.,exclude,review_not_primary,This broad conceptual review of biological digital twins lacks a focused medical world-model evidence synthesis.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for constrained disorder principle systems improve performance digital twins biological systems, including prediction, simulation, or intervention use."
ALT-d053973ac131,fresh_alternate_public_search,Virtual imaging trials in medicine: A brief takeaway of the lessons from the first international summit.,include,include_review,"This medical virtual-trials synthesis summarizes digital-patient modeling, validation frameworks, regulation, and clinical translation.",exclude,review_not_primary,This review centers on virtual imaging trials medicine brief takeaway lessons first international summit rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-5dc52895a3b1,fresh_alternate_public_search,Whole Genome Sequencing-based digital twin as a clinical decision support system: in-born disease risks and pharmacogenomics with Large Language Model,uncertain,insufficient_abstract,"The medical digital-twin title is relevant, but no abstract permits assessing temporal or action-conditioned dynamics.",exclude,no_learned_dynamics,"The whole genome sequencing digital twin as clinical decision support system record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
AUD-9d6f07506042,primary_search_alternate_filter,Can digital twin technology revolutionize public health emergency management? Insights from the PPRR framework.,include,include_review,"Public-health digital twins are primary, with a PPRR implementation framework and translation synthesis.",exclude,wrong_domain,"This record concerns can digital twin technology revolutionize public health emergency management insights, which is outside medical or biomedical systems."
AUD-1a76e219c91c,primary_search_alternate_filter,Developing a mathematical model for early detection of viral hepatitis induced liver dysfunction,include,include_empirical,Patient-calibrated physiological dynamics predict hepatocyte-damage trajectories and permit intervention-response adaptation.,exclude,review_not_primary,This review centers on developing mathematical early detection viral hepatitis induced liver dysfunction rather than evaluated medical learned world-model dynamics as its primary subject.
AUD-7b680c396592,primary_search_alternate_filter,Individual hearts: computational models for improved management of cardiovascular disease,include,include_review,"The review synthesizes patient-specific cardiovascular simulations, digital twins, model types, and clinical translation.",exclude,review_not_primary,This review centers on individual hearts computational improved management cardiovascular disease rather than evaluated medical learned world-model dynamics as its primary subject.
AUD-1591cd857d17,primary_search_alternate_filter,Individualized Physiology-Based Digital Twin Model for Sports Performance Prediction : A Reinterpretation of the Margaria-Morton Model,include,include_empirical,An individualized physiological model is data-parameterized and validated on exercise rollouts and metabolite trajectories.,exclude,no_learned_dynamics,"The individualized physiology digital twin sports performance prediction reinterpretation margaria morton record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
AUD-d5aa0fec108f,primary_search_alternate_filter,P535 Optimising vedolizumab in treatment sequences for Crohn’s disease: Results from a simulation model using real-world evidence,include,include_empirical,RWE-informed Markov transitions simulate ten-year treatment-sequence outcomes and compare alternative action policies.,exclude,no_future_or_action_evaluation,"The p535 optimising vedolizumab treatment sequences crohn s disease results simulation study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
AUD-a956f62c779d,primary_search_alternate_filter,Pumping the brakes on RNA velocity by understanding and interpreting RNA velocity estimates.,include,include_empirical,RNA velocity estimates data-derived cellular transition directions and directly evaluates temporal direction and speed accuracy.,exclude,no_future_or_action_evaluation,"The pumping brakes rna velocity by understanding interpreting rna velocity estimates study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
AUD-7f06de254050,primary_search_alternate_filter,Temporal dynamics of trauma memory persistence.,include,include_empirical,A data-parameterized probabilistic trauma-memory dynamics model evaluates intervention-conditioned persistence predictions against observed outcomes.,exclude,no_learned_dynamics,The temporal dynamics trauma memory persistence study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
AUD-598ee162edd1,primary_search_alternate_filter,WITHDRAWN: Understanding of Comorbidities Using Modeling Techniques on EHR,include,include_empirical,A coupled HMM learns treatment-conditioned comorbidity transitions and evaluates trajectory fit and therapy-linked state shifts.,exclude,no_primary_empirical_evaluation,"The withdrawn understanding comorbidities techniques ehr record is editorial, corrective, conceptual, or consensus-based and lacks a primary learned-dynamics evaluation."
