audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale
ALT-d03766bf85b3,fresh_alternate_public_search,Learning Covariate Relations in Disease Progression Models Using Symbolic Neural Networks.,"Covariate modeling provides individual predictions of outcomes by disease progression models. Current methodology for mapping covariates onto model parameters is limited by predefined parametric functions which can result in inadequate covariate selection and biased predictions by the final model. Furthermore, present methodology scales poorly to high-dimensional data due to combinatorial limitations. In the present study, a novel method for automation of covariate model identification in disease progression models is described. Symbolic neural networks are used to simultaneously identify the parametric covariate functions and optimize model parameters of a Markov chain. By stepwise pruning of initially fully connected dense symbolic networks, humanly readable functions representing the covariate relations are produced. The presented methodology is applied to a dataset containing disease progression observations for type 2 diabetes patients. Although utilizing fewer covariates, the resulting model demonstrates predictive performance similar to that of a model which was developed on the same data using state-of-the-art modeling methodology.","Sundell J, Wahlquist Y, Kjellsson MC, Karlsson MO, Soltesz K.",2026,2026-03-01,,10.1002/psp4.70214,,https://europepmc.org/article/MED/41806166,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,Symbolic neural networks learn covariate-conditioned Markov transitions and are evaluated on predictive performance.,exclude,not_applicable,no_future_or_action_evaluation,"The learning covariate relations disease progression symbolic neural networks study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-ea4b3285b2fe,fresh_alternate_public_search,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,"We introduce a new framework for forecasting the spatiotemporal neural response to stimulation based on learning temporal basis functions. Our proposed temporal basis function model (TBFM) predicts neural responses as a function of both past neural activity and stimulation parameters. This enables TBFM's application to closed-loop neural stimulation using model-based control techniques such as model predictive control (MPC) or model-based reinforcement learning (MBRL). We illustrate the use of TBFMs on data from 40 sessions of micro-electrocorticography (μECog) capturing the response to excitatory optogenetic stimulation in two non-human primates (NHPs). We show that in such a setting, TBFMs require less than 20 minutes of data collection and 5 minutes of training time, while exhibiting accuracy comparable to a complex non-linear dynamical systems model, and greater accuracy than linear state space models (LSSMs) such as those based on the Kalman Filter. Finally, we demonstrate the model's ability to shape neural activity towards desired regimes in two simulated closed-loop stimulation experiments.Clinical relevance- By optimizing sample efficiency, training time, and latency, our model begins to bridge the gap between complex AI-based approaches to modeling brain stimulation and the vision of using such models to develop novel closed-loop stimulation protocols for treating a variety neurological conditions.",Matthew J Bryan; Felix Schwock; Azadeh Yazdan-Shahmorad; Rajesh P N Rao,2025,2025,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/embc58623.2025.11254522,,https://pubmed.ncbi.nlm.nih.gov/41336632/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Learns stimulation-conditioned neural dynamics and evaluates forecasting plus simulated closed-loop control.,include,empirical,include_empirical,The learning temporal basis vectors closed loop neural stimulation study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-792483034b08,fresh_alternate_public_search,LNODE: Uncovering the Latent Dynamics of A β in Alzheimer's Disease.,"Aβ Positron Emission Tomography (PET) is often used to manage Alzheimer's disease (AD). To better understand Aβ progression, we introduce and evaluate a mathematical model that couples Aβ at parcellated gray matter regions. We term this model LNODE for "" latent network ordinary differential equations "". At each region, we track normal Aβ , abnormal Aβ , and m latent states that intend to capture unobservable mechanisms coupled to Aβ progression. LNODE is parameterized by subject-specific parameters and cohort parameters. We jointly invert for these parameters by fitting the model to Aβ -PET data from 585 subjects from the ADNI dataset. Although underparameterized, our model achieves population R2≥98% compared to R2≤60% when fitting without latent states. Furthermore, these preliminary results suggest the existence of different subtypes of Aβ progression.","Wen Z, Biros G.",2026,2025-09-18,Lecture Notes in Computer Science,10.1007/978-3-032-05182-0_31,,https://europepmc.org/article/MED/41522259,book-chapter,crossref;europe_pmc,"""latent dynamics"" medical;europe_pmc_core",indexed,,include,empirical,include_empirical,A subject-adapted neural ODE models longitudinal amyloid state evolution and is evaluated against PET trajectories.,exclude,not_applicable,no_learned_dynamics,The lnode uncovering latent dynamics alzheimer s disease study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-7109e80d2138,fresh_alternate_public_search,Longitudinal Synthetic Data Generation by Artificial Intelligence to Accelerate Clinical and Translational Research in Breast Cancer.,"PURPOSE: Real-world data (RWD) are critical for breast cancer (BC) research but are limited by privacy concerns, missing information, and data fragmentation. This study explores synthetic data (SD) generated through advanced generative models to address these challenges and create harmonized longitudinal data sets. METHODS: A data set of 1052 patients with human epidermal growth factor receptor 2-positive and triple-negative BC from the Informatics for Integrating Biology and the Bedside (i2b2) platform was used. Advanced generative models, including generative adversarial networks (GANs), variational autoencoders (VAEs), and language models (LMs), were applied to generate synthetic longitudinal data sets replicating disease progression, treatment patterns, and clinical outcomes. The Synthethic Validation Framework (SAFE) powered by Train was used to evaluate the fidelity, utility, and privacy. SD were tested across three settings: (1) integration with i2b2 for privacy-preserving data sets; (2) multistate disease modeling to predict clinical outcomes; and (3) generation of synthetic control groups for clinical trials. RESULTS: The synthetic data sets exhibited high fidelity (score 0.94) and ensured privacy, with temporal patterns validated through time-series analyses and Uniform Manifold Approximation and Projection embeddings. In setting A, SD accurately mirrored RWD on the i2b2 platform while maintaining privacy. In setting B, incorporating SD improved the predictive performance of a multistate disease progression model, increasing the C-index by up to 10%. In setting C, SD replicated the end points of the APT trial, demonstrating its feasibility for generating synthetic control arms with preserved statistical properties of the real data set. CONCLUSION: AI-generated longitudinal SD effectively address key challenges in RWD use in BC. This approach can improve translational research and clinical trial design while ensuring robust privacy protection. Integration with platforms such as i2b2 highlights their scalability and potential for broader applications in oncology.",Elena Zazzetti; Saverio D'Amico; Flavia Jacobs; Rita De Sanctis; Lorenzo Chiudinelli; Mariangela Gaudio; Gianluca Asti; Mattia Delleani; Elisabetta Sauta; Mirco Quintavalla; Alessandro Bruseghini; Luca Lanino; Giulia Maggioni; Alessia Campagna; Victor Savevski; Matteo G Della Porta; Alberto Zambelli,2025,2025,JCO clinical cancer informatics,10.1200/cci-25-00033,,https://pubmed.ncbi.nlm.nih.gov/41197110/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Generative models learn longitudinal cancer trajectories and are evaluated as synthetic disease and trial simulators.,include,empirical,include_empirical,The longitudinal synthetic data generation by artificial intelligence accelerate clinical translational study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-d6abe9c98cda,fresh_alternate_public_search,Mapping the future of medicine through digital twins.,"Digital twins are rapidly gaining popularity in medicine and the health sciences, as they offer not merely a new method but a versatile paradigm capable of addressing a wide range of healthcare challenges. In this paper, we provide a focused survey of these developments and highlight promising approaches across several fields, including general health systems, cardiology, oncology, and mental health. We also discuss the key challenges and future directions for general medical digital twin systems.",Frank Emmert-Streib; Shailesh Tripathi; Olli Yli-Harja,2026,2026,Frontiers in molecular medicine,10.3389/fmmed.2026.1840371,,https://pubmed.ncbi.nlm.nih.gov/42130902/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,exclude,review,review_not_primary,Provides a generic medical digital-twin survey without a focused world-model evidence synthesis.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for mapping future medicine through digital twins, including prediction, simulation, or intervention use."
ALT-e928d3e6cc41,fresh_alternate_public_search,Maximizing Knowledge Extraction From Patient-Reported Outcome Data Using Exposure-Outcome Item Response Modeling Approach: Understanding Efavirenz-Induced Central Nervous System Toxicity.,"This investigation was undertaken to maximally extract hidden knowledge from an efavirenz-based trial data set using an item response theory-based approach to exposure-outcome analysis. The aim was to understand the influence of efavirenz exposure on the underlying neuropsychiatric impairment in HIV/AIDS patients. Data from 196 individuals with 4136 neuropsychiatric impairment symptom observations at baseline and 2 and 12 weeks of 600-mg efavirenz-based therapy was analyzed. The 7 symptoms were categorized as sleep disorders (3), hallucinations (3), and cognitive impairment (1). A longitudinal item response theory model incorporating 3 latent variables based on the symptom categories and a linear disease progression model with a symptomatic drug effect was developed in NONMEM 7.4.1. The model adequately characterized the observed symptoms and revealed the hidden knowledge on the informativeness of symptoms in characterizing the underlying neuropsychiatric impairment. Informativeness, which was affected by underlying impairment severity and efavirenz therapy duration, varied among symptoms. Sleep disorders were the most efavirenz-sensitive symptom category. Vivid dreams and auditory hallucinations were most informative in their respective symptom categories. Mini-Mental State Examination score cutoff levels used to classify the severity of cognitive impairment did not distinctively correspond with neuropsychiatric impairment severity. Efavirenz treatment effect on the severity of neuropsychiatric impairment was not more than 15%. Simulation of individual symptoms at the 400-mg dose only reduced the prevalence of sleep disorder symptoms. Use of the exposure-item response theory modeling approach maximally extracted hidden knowledge about efavirenz-induced neuropsychiatric impairment and appropriately characterized the impact of dose reduction on specific neuropsychiatric impairment symptoms.",Karungi S Bisaso; Kuteesa R Bisaso; Jackson K Mukonzo; Ene I Ette,2020,2020,Journal of clinical pharmacology,10.1002/jcph.1570,,https://pubmed.ncbi.nlm.nih.gov/32096561/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A trial-fitted dose-conditioned longitudinal model simulates symptom responses under alternative efavirenz dosing.,exclude,not_applicable,no_future_or_action_evaluation,"The maximizing knowledge extraction patient reported outcome data exposure outcome item study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-6d957ad1c16c,fresh_alternate_public_search,Med-Real2Sim: Non-Invasive Medical Digital Twins using Physics-Informed Self-Supervised Learning and Virtual Patient Breathing Simulator using VR,,,2026,2026,Iconic Research and Engineering Journals,10.64388/irev9i9-1715434,,https://doi.org/10.64388/irev9i9-1715434,journal-article,crossref,"""patient simulator"" clinical",registered,,uncertain,empirical,insufficient_abstract,The relevant digital-twin title lacks details needed to distinguish learned breathing dynamics from physics simulation.,uncertain,empirical,insufficient_abstract,"The med real2sim non invasive medical digital twins physics informed self title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-467729658e57,fresh_alternate_public_search,Medical digital twin insights: Enhancing cancer treatment through generative modeling.,"Medical digital twins enhanced with generative modelling represent a revolutionary advancement in cancer therapy. These computerized models replicate the biological processes of individual patients, enabling clinicians to better understand tumour behaviour and predict treatment responses. By integrating large-scale datasets, including genetic profiles, medical imaging, and clinical information, this technology supports a shift from conventional one-size-fits-all treatment approaches toward personalised cancer care. Medical digital twins utilise artificial intelligence-driven generative modelling to simulate cancer progression and therapeutic interactions. These models combine multimodal patient-specific data to generate dynamic, real-time simulations. Various treatment scenarios, involving both synthetic and natural therapeutic options, are computationally tested to predict cellular responses, efficacy, and toxicity before clinical application. The use of medical digital twins allows accurate forecasting of tumour behaviour and treatment outcomes. By pre-testing multiple therapeutic strategies, this approach significantly reduces clinical risks while improving treatment effectiveness. The ability to predict both efficacy and toxicity leads to safer, more efficient treatment selection compared to traditional methods. Medical digital twins promote a precise, patient-centred approach to cancer therapy by tailoring treatments based on individual genetic and molecular profiles. As AI-driven personalised medicine continues to evolve, the integration of generative modelling with digital twins is expected to enhance treatment success rates and improve patient quality of life. Ultimately, this technology transforms traditional cancer care into a dynamic, adaptive, and personalised healthcare model.",Panneerselvam Theivendren; Surabhi Panneerselvam; Selvaraj Kunjiappan; Deepalakshmi Mani; Arun Kanniyappan Parthasarathy,2026,2026,Computational biology and chemistry,10.1016/j.compbiolchem.2026.109074,,https://pubmed.ncbi.nlm.nih.gov/42025266/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,review,include_review,Synthesizes generative cancer digital twins that simulate progression and treatment-response scenarios.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for medical digital twin insights enhancing cancer treatment through generative, including prediction, simulation, or intervention use."
ALT-a864b2e17b7a,fresh_alternate_public_search,Medical Digital Twin: A Review on Technical Principles and Clinical Applications.,"The usage of digital twins (DTs) is growing across a wide range of businesses. The health sector is one area where DT use has recently increased. Ultimately, the concept of digital health twins holds the potential to enhance human existence by transforming disease prevention, health preservation, diagnosis, treatment, and management. Big data's explosive expansion, combined with ongoing developments in data science (DS) and artificial intelligence (AI), might greatly speed up research and development by supplying crucial data, a strong cyber technical infrastructure, and scientific know-how. The field of healthcare applications is still in its infancy, despite the fact that there are several DT programs in the military and industry. This review's aim is to present this cutting-edge technology, which focuses on neurology, as one of the most exciting new developments in the medical industry. Through innovative research and development in DT technology, we anticipate the formation of a global cooperative effort among stakeholders to improve health care and the standard of living for millions of people globally.",Mario Tortora; Francesco Pacchiano; Suely Fazio Ferraciolli; Sabrina Criscuolo; Cristina Gagliardo; Katya Jaber; Manuel Angelicchio; Francesco Briganti; Ferdinando Caranci; Fabio Tortora; Alberto Negro,2025,2025,Journal of clinical medicine,10.3390/jcm14020324,,https://pubmed.ncbi.nlm.nih.gov/39860329/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,review,include_review,Synthesizes medical digital-twin technical principles and clinical applications as a healthcare-focused translational review.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for medical digital twin review technical principles clinical applications, including prediction, simulation, or intervention use."
ALT-e1af18d97abc,fresh_alternate_public_search,Medical digital twins: enabling precision medicine and medical artificial intelligence.,"The notion of medical digital twins is gaining popularity both within the scientific community and among the general public; however, much of the recent enthusiasm has occurred in the absence of a consensus on their fundamental make-up. Digital twins originate in the field of engineering, in which a constantly updating virtual copy enables analysis, simulation, and prediction of a real-world object or process. In this Health Policy paper, we evaluate this concept in the context of medicine and outline five key components of the medical digital twin: the patient, data connection, patient-in-silico, interface, and twin synchronisation. We consider how various enabling technologies in multimodal data, artificial intelligence, and mechanistic modelling will pave the way for clinical adoption and provide examples pertaining to oncology and diabetes. We highlight the role of data fusion and the potential of merging artificial intelligence and mechanistic modelling to address the limitations of either the AI or the mechanistic modelling approach used independently. In particular, we highlight how the digital twin concept can support the performance of large language models applied in medicine and its potential to address health-care challenges. We believe that this Health Policy paper will help to guide scientists, clinicians, and policy makers in creating medical digital twins in the future and translating this promising new paradigm from theory into clinical practice.",Christoph Sadée; Stefano Testa; Thomas Barba; Katherine Hartmann; Maximilian Schuessler; Alexander Thieme; George M Church; Ifeoma Okoye; Tina Hernandez-Boussard; Leroy Hood; Ilya Shmulevich; Ellen Kuhl; Olivier Gevaert,2025,2025,The Lancet. Digital health,10.1016/j.landig.2025.02.004,,https://pubmed.ncbi.nlm.nih.gov/40518342/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,review,include_review,"Defines medical digital-twin components and synthesizes enabling technologies, clinical examples, and translation challenges.",include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for medical digital twins enabling precision medicine medical artificial intelligence, including prediction, simulation, or intervention use."
ALT-e81d9308267a,fresh_alternate_public_search,Medical sensor network and machine learning-enabled digital twins for diagnostic and therapeutic purposes,,Md. AFROZ; Emmanuel Nyawende,2025,2025,Blockchain and Digital Twin for Smart Healthcare,10.1016/b978-0-443-30300-5.00009-9,,https://doi.org/10.1016/b978-0-443-30300-5.00009-9,book-chapter,crossref,"""medical digital twin"" trajectory",registered,,uncertain,not_applicable,insufficient_abstract,The relevant-looking title lacks details needed to assess learned dynamics and therapeutic-response evaluation.,exclude,not_applicable,no_learned_dynamics,"The medical sensor network machine learning enabled digital twins diagnostic therapeutic record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
ALT-654a209caf98,fresh_alternate_public_search,Model-informed Clinical Trial Design for Autosomal Dominant Tubulointerstitial Kidney Disease: Integrating Disease Progression and Trial Simulation,,Shyam Ramesh; Mark Rogge; Jongjin Kim; Sanghoon Kang; Kendrah Kidd; Adrienne Williams; Julie Roignot; Katherine Blakeslee; Anthony Bleyer; Sarah Kim,2026,2026,Model-informed Clinical Trial Design for Autosomal Dominant Tubulointerstitial Kidney Disease: Integrating Disease Progression and Trial Simulation,10.70534/tixj4043,,https://doi.org/10.70534/tixj4043,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,exclude,empirical,no_learned_dynamics,"Title describes disease-progression and clinical-trial simulation, an excluded model-informed trial-design application.",uncertain,empirical,insufficient_abstract,"The informed clinical trial design autosomal dominant tubulointerstitial kidney disease integrating title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-95bfe14c6a9e,fresh_alternate_public_search,"Modeling and Remodeling the Cell: How Digital Twins and HCMV Can Elucidate the Complex Interactions of Viral Latency, Epigenetic Regulation, and Immune Responses.","Purpose of review Human cytomegalovirus (HCMV), while asymptomatic in most, causes significant complications during fetal development, following transplant or in immunosuppressed individuals. The host-virus interactions regulating viral latency and reactivation and viral control of the cellular environment (immune regulation, differentiation, epigenetics) are highly complex. Understanding these processes is essential to controlling infection and can be leveraged as a novel approach for understanding basic cell biology. Recent findings Immune digital twins (IDTs) are digital simulations integrating knowledge of human immunology, physiology, and patient-specific clinical data to predict individualized immune responses and targeted treatments. Recent studies used IDTs to elucidate mechanisms of T cells, dendritic cells, and epigenetic control-all key to HCMV biology. Summary Here, we discuss how leveraging the unique biology of HCMV and IDTs will clarify immune response dynamics, host-virus interactions, and viral latency and reactivation and serve as a powerful IDT-validation platform for individualized and holistic health management.","McMahon-Cole H, Johnson A, Sadat Aghamiri S, Helikar T, Crawford LB.",2023,2023-07-29,,10.1007/s40588-023-00201-w,,https://europepmc.org/article/MED/37901689,,europe_pmc,europe_pmc_core,indexed,,exclude,review,review_not_primary,Reviews HCMV biology and proposes immune digital twins without a world-model taxonomy or evidence synthesis.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for remodeling cell how digital twins hcmv can elucidate complex interactions, including prediction, simulation, or intervention use."
ALT-bf194e895160,fresh_alternate_public_search,Modeling Disease Progression with Generative Time Series Models: A New Approach to Complex Disease Trajectories,,B. Abisha; V. Sheeja Kumari; V. Suresh Kumar; Wilfred N.R. Blessing,2025,2025,Advances in Deep Generative Models for Healthcare and Medical Applications,10.1201/9781003602088-5,,https://doi.org/10.1201/9781003602088-5,book-chapter,crossref,"""disease progression model"" generative intervention",registered,,uncertain,not_applicable,insufficient_abstract,"The title suggests generative disease trajectories, but no abstract establishes rollout or transition-model evaluation.",uncertain,empirical,insufficient_abstract,"The disease progression generative time series complex disease trajectories title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-48f2148b8918,fresh_alternate_public_search,Modeling neural coding in the auditory midbrain with high resolution and accuracy,"Computational models of auditory processing can be valuable tools for research and technology development. Models of the cochlea are highly accurate and widely used, but models of the auditory brain lag far behind in both performance and penetration. Here, we present ICNet, a model that provides accurate simulation of neural dynamics in the inferior colliculus across a wide range of sounds, including near-perfect simulation of responses to speech. We developed ICNet using deep learning and large-scale intracranial recordings from gerbils, addressing three key modeling challenges that are common across all sensory systems: capturing the full statistical complexity of neuronal response patterns; accounting for physiological and experimental non-stationarity; and extracting features of sensory processing that are shared across different brains. ICNet can be used to simulate activity from thousands of neural units or to provide a compact representation of central auditory processing through its latent dynamics, facilitating a wide range of hearing and audio applications.","Drakopoulos F, Pellatt L, Sabesan S, Xia Y, Fragner A, Lesica NA.",2024,2024-06-19,,10.1101/2024.06.17.599294,,https://europepmc.org/article/PPR/PPR869823,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,Learns stimulus-conditioned neural dynamics and directly validates simulated neural responses across diverse sounds.,exclude,not_applicable,no_future_or_action_evaluation,"The neural coding auditory midbrain high resolution accuracy study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-21155df63ca2,fresh_alternate_public_search,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,"Computational models of auditory processing can be valuable tools for research and technology development. Models of the cochlea are highly accurate and widely used, but models of the auditory brain lag far behind in both performance and penetration. Here we present ICNet, a convolutional encoder-decoder model of neural coding in the inferior colliculus. We developed ICNet using large-scale intracranial recordings from anaesthetized gerbils, addressing three key modelling challenges that are common across all sensory systems: capturing the full statistical structure of neuronal response patterns; accounting for physiological and experimental non-stationarity; and extracting features of sensory processing that are shared across different brains. ICNet provides highly accurate simulation of multi-unit neural responses to a wide range of complex sounds, including near-perfect responses to speech. It also reproduces key neurophysiological phenomena such as forward masking and dynamic range adaptation. ICNet can be used to simulate activity from thousands of neural units or to provide a compact representation of early central auditory processing through its latent dynamics, facilitating a wide range of hearing and audio applications. It can also serve as a foundation core, providing a baseline neural representation for models of active listening or higher-level auditory processing.",Fotios Drakopoulos; Lloyd Pellatt; Shievanie Sabesan; Yiqing Xia; Andreas Fragner; Nicholas A Lesica,2025,2025,Nature machine intelligence,10.1038/s42256-025-01104-9,,https://pubmed.ncbi.nlm.nih.gov/41019457/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,"Learns stimulus-conditioned neural dynamics and validates simulated responses, adaptation, and masking across sounds.",exclude,not_applicable,no_future_or_action_evaluation,"The neural coding auditory midbrain high resolution accuracy study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-772584a789d2,fresh_alternate_public_search,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,"Severe infectious diseases such as the novel coronavirus (COVID-19) pose a huge threat to public health. Stringent control measures, such as school closures and stay-at-home orders, while having significant effects, also bring huge economic losses. In the face of an emerging infectious disease, a crucial question for policymakers is how to make the trade-off and implement the appropriate interventions timely given the huge uncertainty. In this work, we propose a Multi-Objective Model-based Reinforcement Learning framework to facilitate data-driven decision-making and minimize the overall long-term cost. Specifically, at each decision point, a Bayesian epidemiological model is first learned as the environment model, and then the proposed model-based multi-objective planning algorithm is applied to find a set of Pareto-optimal policies. This framework, combined with the prediction bands for each policy, provides a real-time decision support tool for policymakers. The application is demonstrated with the spread of COVID-19 in China.","Wan R, Zhang X, Song R.",2022,2022-02-26,,,,https://europepmc.org/article/PPR/PPR597469,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,Learns a Bayesian epidemiological environment model and evaluates planning policies for disease-control interventions.,include,empirical,include_empirical,The multi objective reinforcement learning infectious disease control study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-87a660788a1b,fresh_alternate_public_search,Multiscale mathematical model-informed reinforcement learning optimizes combination treatment scheduling in glioblastoma evolution.,"Dynamic tumor-microenvironment interactions greatly affect growth and drug resistance, highlighting the importance and challenge of developing mathematical models to optimize treatment schedules. Here, we describe a multiscale mathematical model-informed reinforcement learning (M4RL) framework to simulate dynamic tumor-microenvironment interactions and optimize drug combination scheduling. We first develop a multiscale agent-based model (MSABM) for a critical biological scenario where interactions between tumor-associated macrophages (TAMs) and tumor cells (TCs) underlie immunotherapy resistance in glioblastoma. Next, we learn a surrogate model based on Fokker-Planck equations for the MSABM using a physics-informed neural network approach. We then design a surrogate model-based reinforcement learning method, using an efficient parallel actor-critic algorithm, to predict optimal scheduling of combination treatments. The most effective regimen of dynamic combination of CSF1R inhibitor (targeting TAMs) and IGF1R inhibitor (targeting TCs) is identified and then verified using spatial transcriptomic data. Overall, the M4RL framework introduces a computational approach for characterizing tumor-microenvironment interactions and optimizing dynamic scheduling of drug combinations.",Zeming Liu; Ji Zhang; Liu Hong; Qing Nie; Xiaoqiang Sun,2025,2025,Science advances,10.1126/sciadv.adv3316,,https://pubmed.ncbi.nlm.nih.gov/40779623/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A learned tumor-dynamics surrogate is evaluated for reinforcement-learning treatment scheduling and transcriptomically verified.,include,empirical,include_empirical,The multiscale mathematical informed reinforcement learning optimizes combination treatment scheduling glioblastoma study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-c8668820c69c,fresh_alternate_public_search,Myo-ODE: continuous-time trajectory reconstruction and risk prediction of high myopia via neural ordinary differential equations.,"The global surge in childhood myopia necessitates robust screening tools for early risk stratification; however, conventional predictive models often struggle with irregular follow-up intervals and fail to capture the continuous nature of refractive development. We propose Myo-ODE, a continuous-time framework based on Neural Ordinary Differential Equations (Neural ODEs) to predict high myopia risk. Unlike traditional discrete machine learning models, Myo-ODE parameterizes the derivative of the refractive state, allowing myopia progression to be represented as a continuous latent dynamic flow. This architecture explicitly accommodates non-uniform screening intervals and supports temporal interpolation and cautious short-term extrapolation within the observed follow-up horizon. Evaluated on a longitudinal dataset ( N = 4,973), Myo-ODE achieved the highest F1-score of 0.8000 (95% CI: 0.7741-0.8256) and Recall of 0.7812 (95% CI: 0.7518-0.8103), while maintaining a competitive AUC of 0.9834 (95% CI: 0.9781-0.9887). Furthermore, our framework reconstructs individualized refractive progression trajectories and provides an interpretable estimate of the model-learned progression momentum of SE change. By bridging the gap between discrete clinical observations and continuous trajectory-level modeling, Myo-ODE offers a promising tool for personalized myopia surveillance in real-world screening environments.","Zhao N, Zheng R, Lu J, Huang Z, Li C, Dai C, Enbei X, Wang J.",2026,2026-07-09,,10.3389/fpubh.2026.1897882,,https://europepmc.org/article/MED/42494919,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,Myo-ODE learns continuous refractive dynamics and directly predicts future high-myopia risk from longitudinal clinical data.,exclude,not_applicable,no_learned_dynamics,The myo ode continuous time trajectory reconstruction risk prediction high myopia study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-a5b2a549c79e,fresh_alternate_public_search,Neurobiologically realistic neural network enables cross-scale modeling of neural dynamics.,"Fundamental principles underlying computation in multi-scale brain networks illustrate how multiple brain areas and their coordinated activity give rise to complex cognitive functions. Whereas brain activity has been studied at the micro- to meso-scale to reveal the connections between the dynamical patterns and the behaviors, investigations of neural population dynamics are mainly limited to single-scale analysis. Our goal is to develop a cross-scale dynamical model for the collective activity of neuronal populations. Here we introduce a bio-inspired deep learning approach, termed NeuroBondGraph Network (NBGNet), to capture cross-scale dynamics that can infer and map the neural data from multiple scales. Our model not only exhibits more than an 11-fold improvement in reconstruction accuracy, but also predicts synchronous neural activity and preserves correlated low-dimensional latent dynamics. We also show that the NBGNet robustly predicts held-out data across a long time scale (2 weeks) without retraining. We further validate the effective connectivity defined from our model by demonstrating that neural connectivity during motor behaviour agrees with the established neuroanatomical hierarchy of motor control in the literature. The NBGNet approach opens the door to revealing a comprehensive understanding of brain computation, where network mechanisms of multi-scale activity are critical.","Chang YJ, Chen YI, Yeh HC, Santacruz SR.",2024,2024-03-01,,10.1038/s41598-024-54593-w,,https://europepmc.org/article/MED/38429297,,europe_pmc,europe_pmc_core,indexed,,exclude,empirical,no_future_or_action_evaluation,"NBGNet learns neural dynamics but evaluates cross-scale reconstruction and held-out mapping, not future-state rollouts.",include,empirical,include_empirical,The neurobiologically realistic neural network enables cross scale neural dynamics study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
